timestamp;open;high;low;close;volume;ticker
2021-01-04 14:30:00;85.177;85.278;84.827;84.857;6.00925;VNQ.USUSD
2021-01-04 14:35:00;84.848;84.858;84.567;84.618;7.826;VNQ.USUSD
2021-01-04 14:40:00;84.608;84.618;84.388;84.527;7.30825;VNQ.USUSD
2021-01-04 14:45:00;84.538;84.568;84.177;84.188;5.20475;VNQ.USUSD
2021-01-04 14:50:00;84.178;84.178;83.797;83.837;7.687;VNQ.USUSD
2021-01-04 14:55:00;83.838;83.948;83.747;83.918;6.629;VNQ.USUSD
2021-01-04 15:00:00;83.928;84.108;83.918;84.038;7.1645;VNQ.USUSD
2021-01-04 15:05:00;84.047;84.098;83.817;83.917;7.6405;VNQ.USUSD
2021-01-04 15:10:00;83.917;84.068;83.887;84.018;6.611;VNQ.USUSD
2021-01-04 15:15:00;84.017;84.057;83.807;83.837;6.999;VNQ.USUSD
2021-01-04 15:20:00;83.827;83.858;83.627;83.627;5.5675;VNQ.USUSD
2021-01-04 15:25:00;83.628;83.658;83.467;83.528;5.133;VNQ.USUSD
2021-01-04 15:30:00;83.527;83.567;83.327;83.358;5.80025;VNQ.USUSD
2021-01-04 15:35:00;83.358;83.358;83.177;83.237;4.5585;VNQ.USUSD
2021-01-04 15:40:00;83.237;83.318;83.177;83.287;3.91975;VNQ.USUSD
2021-01-04 15:45:00;83.277;83.288;83.127;83.177;5.987;VNQ.USUSD
2021-01-04 15:50:00;83.177;83.218;82.828;82.918;7.52125;VNQ.USUSD
2021-01-04 15:55:00;82.927;83.138;82.787;83.048;8.546;VNQ.USUSD
2021-01-04 16:00:00;83.058;83.178;82.677;82.827;9.05425;VNQ.USUSD
2021-01-04 16:05:00;82.838;82.938;82.647;82.688;9.953;VNQ.USUSD
2021-01-04 16:10:00;82.697;82.958;82.617;82.958;9.118;VNQ.USUSD
2021-01-04 16:15:00;82.947;82.968;82.758;82.837;8.8925;VNQ.USUSD
