timestamp;open;high;low;close;volume;ticker
2021-01-03 00:00:00;3.5352;3.5402;3.5233;3.532;0.06;COPPER.CMDUSD
2021-01-04 00:00:00;3.5322;3.6047;3.5197;3.562;23.46;COPPER.CMDUSD
2021-01-05 00:00:00;3.5622;3.6603;3.5572;3.6469;20.33;COPPER.CMDUSD
2021-01-06 00:00:00;3.6469;3.7053;3.6255;3.66;25.04;COPPER.CMDUSD
2021-01-07 00:00:00;3.6596;3.7095;3.639;3.7051;19.53;COPPER.CMDUSD
2021-01-08 00:00:00;3.7053;3.7318;3.6268;3.6912;27.59;COPPER.CMDUSD
2021-01-10 00:00:00;3.6863;3.6874;3.6575;3.6637;0.03;COPPER.CMDUSD
2021-01-11 00:00:00;3.6636;3.6688;3.5498;3.5649;22.98;COPPER.CMDUSD
2021-01-12 00:00:00;3.5653;3.6439;3.5604;3.6363;19.03;COPPER.CMDUSD
2021-01-13 00:00:00;3.6364;3.6468;3.6037;3.6165;17.4;COPPER.CMDUSD
2021-01-14 00:00:00;3.6157;3.6728;3.5993;3.667;18.16;COPPER.CMDUSD
2021-01-15 00:00:00;3.6668;3.6815;3.5849;3.596;20.82;COPPER.CMDUSD
2021-01-17 00:00:00;3.5947;3.6043;3.5729;3.573;0.11;COPPER.CMDUSD
2021-01-18 00:00:00;3.5734;3.6465;3.5713;3.6148;12.65;COPPER.CMDUSD
2021-01-19 00:00:00;3.6144;3.6519;3.5952;3.6303;22.44;COPPER.CMDUSD
2021-01-20 00:00:00;3.6307;3.6605;3.615;3.643;18.02;COPPER.CMDUSD
2021-01-21 00:00:00;3.6424;3.6718;3.6317;3.6449;21.31;COPPER.CMDUSD
2021-01-22 00:00:00;3.6444;3.6485;3.562;3.6161;24.86;COPPER.CMDUSD
2021-01-24 00:00:00;3.6208;3.6313;3.6182;3.6229;0.07;COPPER.CMDUSD
2021-01-25 00:00:00;3.6235;3.638;3.594;3.6309;27.68;COPPER.CMDUSD
2021-01-26 00:00:00;3.6303;3.6393;3.5787;3.6191;24.73;COPPER.CMDUSD
2021-01-27 00:00:00;3.6194;3.6253;3.5193;3.533;34.87;COPPER.CMDUSD
2021-01-28 00:00:00;3.5327;3.5968;3.4889;3.5699;46.83;COPPER.CMDUSD
2021-01-29 00:00:00;3.5704;3.6105;3.5299;3.5385;41.17;COPPER.CMDUSD
2021-01-31 00:00:00;3.5445;3.5483;3.5238;3.5354;0.29;COPPER.CMDUSD
2021-02-01 00:00:00;3.535;3.5828;3.5212;3.5551;34.1;COPPER.CMDUSD
